"name","origin","country_code","temperament","description","alt_names","wikipedia_url","image_url","lat","lng","weight_kg","life_span_yrs","affection_level","energy_level","intelligence","dog_friendly","child_friendly","stranger_friendly","adaptability","grooming","shedding_level","social_needs","vocalisation","health_issues","indoor","lap","hypoallergenic","hairless","rare"
"Bengal","United States","US","Alert, Agile, Energetic, Demanding, Intelligent","Bengals are a lot of fun to live with, but they're definitely not the cat for everyone, or for first-time cat owners. Extremely intelligent, curious and active, they demand a lot of interaction and woe betide the owner who doesn't provide it.",NA,"https://en.wikipedia.org/wiki/Bengal_(cat)","https://cdn2.thecatapi.com/images/O3btzLlsO.jpg",37.815,-95.483,5,13.5,5,5,5,5,4,3,5,1,3,5,5,3,0,0,1,0,0
"Birman","France","FR","Affectionate, Active, Gentle, Social","The Birman is a docile, quiet cat who loves people and will follow them from room to room. Expect the Birman to want to be involved in what you<U+2019>re doing. He communicates in a soft voice, mainly to remind you that perhaps it<U+2019>s time for dinner or maybe for a nice cuddle on the sofa. He enjoys being held and will relax in your arms like a furry baby.","Sacred Birman, Sacred Cat Of Burma","https://en.wikipedia.org/wiki/Birman","https://cdn2.thecatapi.com/images/HOrX5gwLS.jpg",46.154,1.43,5,14.5,5,3,3,5,4,3,5,2,3,4,1,1,0,1,0,0,0
"Bombay","United States","US","Affectionate, Dependent, Gentle, Intelligent, Playful","The the golden eyes and the shiny black coa of the Bopmbay is absolutely striking. Likely to bond most with one family member, the Bombay will follow you from room to room and will almost always have something to say about what you are doing, loving attention and to be carried around, often on his caregiver's shoulder.","Small black Panther","https://en.wikipedia.org/wiki/Bombay_(cat)","https://cdn2.thecatapi.com/images/5iYq9NmT1.jpg",36.871,-94.714,4,14,5,3,5,5,4,4,5,1,3,4,5,3,0,1,0,0,0
"British Longhair","United Kingdom","GB","Affectionate, Easy Going, Independent, Intelligent, Loyal, Social","The British Longhair is a very laid-back relaxed cat, often perceived to be very independent although they will enjoy the company of an equally relaxed and likeminded cat. They are an affectionate breed, but very much on their own terms and tend to prefer to choose to come and sit with their owners rather than being picked up.","","https://en.wikipedia.org/wiki/British_Longhair","https://cdn2.thecatapi.com/images/7isAO4Cav.jpg",56.321,-4.101,6,13,5,4,5,5,4,4,5,5,1,3,1,1,0,NA,0,0,0
"British Shorthair","United Kingdom","GB","Affectionate, Easy Going, Gentle, Loyal, Patient, calm","The British Shorthair is a very pleasant cat to have as a companion, ans is easy going and placid. The British is a fiercely loyal, loving cat and will attach herself to every one of her family members. While loving to play, she doesn't need hourly attention. If she is in the mood to play, she will find someone and bring a toy to that person. The British also plays well by herself, and thus is a good companion for single people.","Highlander, Highland Straight, Britannica","https://en.wikipedia.org/wiki/British_Shorthair","https://cdn2.thecatapi.com/images/s4wQfYoEk.jpg",54.111,-3.604,7,14.5,4,2,3,5,4,2,5,2,4,3,1,2,0,1,0,0,0
"Burmese","Burma","MM","Curious, Intelligent, Gentle, Social, Interactive, Playful, Lively","Burmese love being with people, playing with them, and keeping them entertained. They crave close physical contact and abhor an empty lap. They will follow their humans from room to room, and sleep in bed with them, preferably under the covers, cuddled as close as possible. At play, they will turn around to see if their human is watching and being entertained by their crazy antics.","","https://en.wikipedia.org/wiki/Burmese_(cat)","https://cdn2.thecatapi.com/images/4lXnnfxac.jpg",22.819,97.038,4,15.5,5,4,5,5,4,5,5,1,3,5,5,3,0,1,1,0,0
"Burmilla","United Kingdom","GB","Easy Going, Friendly, Intelligent, Lively, Playful, Social","The Burmilla is a fairly placid cat. She tends to be an easy cat to get along with, requiring minimal care. The Burmilla is affectionate and sweet and makes a good companion, the Burmilla is an ideal companion to while away a lonely evening. Loyal, devoted, and affectionate, this cat will stay by its owner, always keeping them company.","","https://en.wikipedia.org/wiki/Burmilla","https://cdn2.thecatapi.com/images/jvg3XfEdC.jpg",55.444,-4.979,4.5,12.5,5,3,3,4,4,3,5,3,3,4,5,3,0,1,0,0,0
"California Spangled","United States","US","Affectionate, Curious, Intelligent, Loyal, Social","Perhaps the only thing about the California spangled cat that isn<U+2019>t wild-like is its personality. Known to be affectionate, gentle and sociable, this breed enjoys spending a great deal of time with its owners. They are very playful, often choosing to perch in high locations and show off their acrobatic skills.","Spangle","https://en.wikipedia.org/wiki/California_Spangled","https://cdn2.thecatapi.com/images/B1ERTmgph.jpg",36.737,-95.356,6,12,5,5,5,5,4,4,5,1,1,3,1,1,0,NA,0,0,0
"Chantilly-Tiffany","United States","US","Affectionate, Demanding, Interactive, Loyal","The Chantilly is a devoted companion and prefers company to being left alone. While the Chantilly is not demanding, she will ""chirp"" and ""talk"" as if having a conversation. This breed is affectionate, with a sweet temperament. It can stay still for extended periods, happily lounging in the lap of its loved one. This quality makes the Tiffany an ideal traveling companion, and an ideal house companion for senior citizens and the physically handicapped.","Chantilly, Foreign Longhair","https://en.wikipedia.org/wiki/Chantilly-Tiffany","https://cdn2.thecatapi.com/images/TR-5nAd_S.jpg",37.719,-95.739,4,15,5,4,5,5,4,4,5,5,5,3,5,1,0,1,0,0,0
"Chartreux","France","FR","Affectionate, Loyal, Intelligent, Social, Lively, Playful","The Chartreux is generally silent but communicative. Short play sessions, mixed with naps and meals are their perfect day. Whilst appreciating any attention you give them, they are not demanding, content instead to follow you around devotedly, sleep on your bed and snuggle with you if you<U+2019>re not feeling well.","","https://en.wikipedia.org/wiki/Chartreux","https://cdn2.thecatapi.com/images/j6oFGLpRG.jpg",46.016,1.713,5,13.5,5,2,4,5,4,5,5,1,3,5,1,2,0,1,1,0,0
"Chausie","Egypt","EG","Affectionate, Intelligent, Playful, Social","For those owners who desire a feline capable of evoking the great outdoors, the strikingly beautiful Chausie retains a bit of the wild in its appearance but has the house manners of our friendly, familiar moggies. Very playful, this cat needs a large amount of space to be able to fully embrace its hunting instincts.","Nile Cat","https://en.wikipedia.org/wiki/Chausie","https://cdn2.thecatapi.com/images/vJ3lEYgXr.jpg",26.939,31.682,5,13,5,4,5,5,4,4,5,3,3,3,1,1,0,NA,0,0,0
"Cheetoh","United States","US","Affectionate, Gentle, Intelligent, Social","The Cheetoh has a super affectionate nature and real love for their human companions; they are intelligent with the ability to learn quickly. You can expect that a Cheetoh will be a fun-loving kitty who enjoys playing, running, and jumping through every room in your house.","<U+00A0>","https://en.wikipedia.org/wiki/Bengal_cat#Cheetoh","https://cdn2.thecatapi.com/images/IFXsxmXLm.jpg",37.672,-96.547,5.5,13,5,4,5,5,4,4,5,1,1,3,5,1,0,NA,0,0,0
"Colorpoint Shorthair","United States","US","Affectionate, Intelligent, Playful, Social","Colorpoint Shorthairs are an affectionate breed, devoted and loyal to their people. Sensitive to their owner<U+2019>s moods, Colorpoints are more than happy to sit at your side or on your lap and purr words of encouragement on a bad day. They will constantly seek out your lap whenever it is open and in the moments when your lap is preoccupied they will stretch out in sunny spots on the ground.","","https://en.wikipedia.org/wiki/Colorpoint_Shorthair","https://cdn2.thecatapi.com/images/oSpqGyUDS.jpg",35.968,-95.457,3.5,14,4,4,5,4,4,2,3,2,3,4,5,2,0,1,0,0,0
"Cornish Rex","United Kingdom","GB","Affectionate, Intelligent, Active, Curious, Playful","This is a confident cat who loves people and will follow them around, waiting for any opportunity to sit in a lap or give a kiss. He enjoys being handled, making it easy to take him to the veterinarian or train him for therapy work. The Cornish Rex stay in kitten mode most of their lives and well into their senior years. ","","https://en.wikipedia.org/wiki/Cornish_Rex","https://cdn2.thecatapi.com/images/unX21IBVB.jpg",56.491,-2.804,3,12.5,5,5,5,5,4,3,5,1,1,5,1,2,0,1,1,0,0
"Cymric","Canada","CA","Gentle, Loyal, Intelligent, Playful","The Cymric is a placid, sweet cat. They do not get too upset about anything that happens in their world. They are loving companions and adore people. They are smart and dexterous, capable of using his paws to get into cabinets or to open doors.","Spangle","https://en.wikipedia.org/wiki/Cymric_(cat)","https://cdn2.thecatapi.com/images/3dbtapCWM.jpg",55.701,-107.693,5,11,5,5,5,5,4,3,5,3,5,5,3,3,0,1,0,0,0
"Cyprus","Cyprus","CY","Affectionate, Social","Loving, loyal, social and inquisitive, the Cyprus cat forms strong ties with their families and love nothing more than to be involved in everything that goes on in their surroundings. They are not overly active by nature which makes them the perfect companion for people who would like to share their homes with a laid-back relaxed feline companion. ","Cypriot cat","https://en.wikipedia.org/wiki/Cyprus_cat","https://cdn2.thecatapi.com/images/tJbzb7FKo.jpg",34.484,34.828,5.5,13.5,5,4,3,5,4,4,5,3,3,3,3,1,0,1,0,0,0
"Devon Rex","United Kingdom","GB","Highly interactive, Mischievous, Loyal, Social, Playful","The favourite perch of the Devon Rex is right at head level, on the shoulder of her favorite person. She takes a lively interest in everything that is going on and refuses to be left out of any activity. Count on her to stay as close to you as possible, occasionally communicating his opinions in a quiet voice. She loves people and welcomes the attentions of friends and family alike.","Pixie cat, Alien cat, Poodle cat","https://en.wikipedia.org/wiki/Devon_Rex","https://cdn2.thecatapi.com/images/4RzEwvyzz.jpg",55.841,-3.633,3.5,12.5,5,5,5,5,4,5,5,1,1,5,1,3,0,1,1,0,0
"Donskoy","Russia","RU","Playful, affectionate, loyal, social","Donskoy are affectionate, intelligent, and easy-going. They demand lots of attention and interaction. The Donskoy also gets along well with other pets. It is now thought the same gene that causes degrees of hairlessness in the Donskoy also causes alterations in cat personality, making them calmer the less hair they have.",NA,"https://en.wikipedia.org/wiki/Donskoy_(cat)","https://cdn2.thecatapi.com/images/3KG57GfMW.jpg",60.927,105.107,5.5,13.5,4,4,3,3,3,5,4,2,1,5,2,3,0,NA,0,1,1
"Dragon Li","China","CN","Intelligent, Friendly, Gentle, Loving, Loyal","The Dragon Li is loyal, but not particularly affectionate. They are known to be very intelligent, and their natural breed status means that they're very active. She is is gentle with people, and has a reputation as a talented hunter of rats and other vermin.","Chinese Lia Hua, L<U+00ED> hua m<U+0101>o (<U+8C8D><U+82B1><U+8C93>), Li Hua","https://en.wikipedia.org/wiki/Dragon_Li","https://cdn2.thecatapi.com/images/BQMSld0A0.jpg",36.214,104.873,5,13.5,3,3,3,3,3,3,3,1,3,4,3,1,1,NA,0,0,0
"Egyptian Mau","Egypt","EG","Agile, Dependent, Gentle, Intelligent, Lively, Loyal, Playful","The Egyptian Mau is gentle and reserved. She loves her people and desires attention and affection from them but is wary of others. Early, continuing socialization is essential with this sensitive and sometimes shy cat, especially if you plan to show or travel with her. Otherwise, she can be easily startled by unexpected noises or events.","Pharaoh Cat","https://en.wikipedia.org/wiki/Egyptian_Mau","https://cdn2.thecatapi.com/images/TuSyTkt2n.jpg",27.047,29.939,4.5,19,5,5,4,3,3,2,2,1,3,4,3,3,0,1,0,0,0
"European Burmese","Burma","MM","Sweet, Affectionate, Loyal","The European Burmese is a very affectionate, intelligent, and loyal cat. They thrive on companionship and will want to be with you, participating in everything you do. While they might pick a favorite family member, chances are that they will interact with everyone in the home, as well as any visitors that come to call. They are inquisitive and playful, even as adults. ","",NA,NA,21.052,96.512,4.5,12.5,5,4,5,4,4,5,5,1,3,5,4,4,0,1,0,0,0
"Exotic Shorthair","United States","US","Affectionate, Sweet, Loyal, Quiet, Peaceful","The Exotic Shorthair is a gentle friendly cat that has the same personality as the Persian. They love having fun, don<U+2019>t mind the company of other cats and dogs, also love to curl up for a sleep in a safe place. Exotics love their own people, but around strangers they are cautious at first. Given time, they usually warm up to visitors.","Exotic","https://en.wikipedia.org/wiki/Exotic_Shorthair","https://cdn2.thecatapi.com/images/YnPrYEmfe.jpg",38.223,-95.515,4.5,13.5,5,3,3,3,3,2,5,2,2,4,1,3,0,1,0,0,0
"Havana Brown","United Kingdom","GB","Affectionate, Curious, Demanding, Friendly, Intelligent, Playful","The Havana Brown is human oriented, playful, and curious. She has a strong desire to spend time with her people and involve herself in everything they do. Being naturally inquisitive, the Havana Brown reaches out with a paw to touch and feel when investigating curiosities in its environment. They are truly sensitive by nature and frequently gently touch their human companions as if they are extending a paw of friendship.","Havana, HB","https://en.wikipedia.org/wiki/Havana_Brown","https://cdn2.thecatapi.com/images/njK25knLH.jpg",54.596,-4.452,4,12.5,5,3,5,5,4,3,5,1,3,5,1,1,0,1,0,0,0
"Himalayan","United States","US","Dependent, Gentle, Intelligent, Quiet, Social","Calm and devoted, Himalayans make excellent companions, though they prefer a quieter home. They are playful in a sedate kind of way and enjoy having an assortment of toys. The Himalayan will stretch out next to you, sleep in your bed and even sit on your lap when she is in the mood.","Himalayan Persian, Colourpoint Persian, Longhaired Colourpoint, Himmy","https://en.wikipedia.org/wiki/Himalayan_(cat)","https://cdn2.thecatapi.com/images/CDhOtM-Ig.jpg",36.974,-94.305,4.5,12,5,1,3,2,2,2,5,5,4,4,1,3,0,1,0,0,0
"Japanese Bobtail","Japan","JP","Active, Agile, Clever, Easy Going, Intelligent, Lively, Loyal, Playful, Social","The Japanese Bobtail is an active, sweet, loving and highly intelligent breed. They love to be with people and play seemingly endlessly. They learn their name and respond to it. They bring toys to people and play fetch with a favorite toy for hours. Bobtails are social and are at their best when in the company of people. They take over the house and are not intimidated. If a dog is in the house, Bobtails assume Bobtails are in charge.","Japanese Truncated Cat","https://en.wikipedia.org/wiki/Japanese_Bobtail","https://cdn2.thecatapi.com/images/-tm9-znzl.jpg",37.33,137.204,3.5,15,5,5,5,5,4,5,5,1,3,5,5,1,0,1,0,0,0
"Javanese","United States","US","Active, Devoted, Intelligent, Playful","Javanese are endlessly interested, intelligent and active. They tend to enjoy jumping to great heights, playing with fishing pole-type or other interactive toys and just generally investigating their surroundings. He will attempt to copy things you do, such as opening doors or drawers.","<U+00A0>","https://en.wikipedia.org/wiki/Javanese_cat","https://cdn2.thecatapi.com/images/xoI_EpOKe.jpg",36.59,-95.707,3.5,11,5,5,5,4,4,3,4,1,2,5,5,3,0,NA,1,0,0
"Khao Manee","Thailand","TH","Calm, Relaxed, Talkative, Playful, Warm","The Khao Manee is highly intelligent, with an extrovert and inquisitive nature, however they are also very calm and relaxed, making them an idea lap cat.","Diamond Eye cat","https://en.wikipedia.org/wiki/Khao_Manee","https://cdn2.thecatapi.com/images/165ok6ESN.jpg",16.337,101.413,5,11,4,3,4,3,3,3,4,3,3,3,5,1,0,1,0,0,0
"Korat","Thailand","TH","Active, Loyal, highly intelligent, Expressive, Trainable","The Korat is a natural breed, and one of the oldest stable cat breeds. They are highly intelligent and confident cats that can be fearless, although they are startled by loud sounds and sudden movements. Korats form strong bonds with their people and like to cuddle and stay nearby.",NA,"https://en.wikipedia.org/wiki/Korat","https://cdn2.thecatapi.com/images/DbwiefiaY.jpg",15.8,100.233,4,12.5,5,3,5,5,4,2,5,1,3,5,3,1,0,NA,0,0,1
"Kurilian","Russia","RU","Independent, highly intelligent, clever, inquisitive, sociable, playful, trainable","The character of the Kurilian Bobtail is independent, highly intelligent, clever, inquisitive, sociable, playful, trainable, absent of aggression and very gentle. They are devoted to their humans and when allowed are either on the lap of or sleeping in bed with their owners.",NA,"https://en.wikipedia.org/wiki/Kurilian_Bobtail","https://cdn2.thecatapi.com/images/NZpO4pU56M.jpg",60.982,106.029,5.5,17.5,5,5,5,5,5,5,5,1,2,5,3,1,0,NA,0,0,0
"LaPerm","Thailand","TH","Affectionate, Friendly, Gentle, Intelligent, Playful, Quiet","LaPerms are gentle and affectionate but also very active. Unlike many active breeds, the LaPerm is also quite content to be a lap cat. The LaPerm will often follow your lead; that is, if they are busy playing and you decide to sit and relax, simply pick up your LaPerm and sit down with it, and it will stay in your lap, devouring the attention you give it.","Si-Sawat","https://en.wikipedia.org/wiki/LaPerm","https://cdn2.thecatapi.com/images/aKbsEYjSl.jpg",16.873,100.807,4,12.5,5,4,5,5,4,4,5,1,3,4,3,1,0,1,1,0,0
"Maine Coon","United States","US","Adaptable, Intelligent, Loving, Gentle, Independent","They are known for their size and luxurious long coat Maine Coons are considered a gentle giant. The good-natured and affable Maine Coon adapts well to many lifestyles and personalities. She likes being with people and has the habit of following them around, but isn<U+2019>t needy. Most Maine Coons love water and they can be quite good swimmers.","Coon Cat, Maine Cat, Maine Shag, Snowshoe Cat, American Longhair, The Gentle Giants","https://en.wikipedia.org/wiki/Maine_Coon","https://cdn2.thecatapi.com/images/OOD3VXAQn.jpg",36.117,-96.322,6.5,13.5,5,3,5,5,4,5,5,3,3,3,1,3,0,1,0,0,0
"Malayan","United Kingdom","GB","Affectionate, Interactive, Playful, Social","Malayans love to explore and even enjoy traveling by way of a cat carrier. They are quite a talkative and rather loud cat with an apparent strong will. These cats will make sure that you give it the attention it seeks and always seem to want to be held and hugged. They will constantly interact with people, even strangers. They love to play and cuddle.","Asian","https://en.wikipedia.org/wiki/Asian_cat",NA,55.719,-2.206,4.5,15,5,5,3,5,4,3,5,1,1,3,5,1,0,NA,0,0,0
"Manx","Isle of Man","IM","Easy Going, Intelligent, Loyal, Playful, Social","The Manx is a placid, sweet cat that is gentle and playful. She never seems to get too upset about anything. She is a loving companion and adores being with people.","Manks, Stubbin, Rumpy","https://en.wikipedia.org/wiki/Manx_(cat)","https://cdn2.thecatapi.com/images/fhYh2PDcC.jpg",54.884,-5.805,4.5,13,5,5,5,5,4,3,5,1,5,5,3,3,0,1,0,0,0
"Munchkin","United States","US","Agile, Easy Going, Intelligent, Playful","The Munchkin is an outgoing cat who enjoys being handled. She has lots of energy and is faster and more agile than she looks. The shortness of their legs does not seem to interfere with their running and leaping abilities.","","https://en.wikipedia.org/wiki/Munchkin_(cat)","https://cdn2.thecatapi.com/images/j5cVSqLer.jpg",35.646,-95.174,3,12.5,5,4,5,5,4,5,5,2,3,5,3,3,0,1,0,0,0
"Nebelung","United States","US","Gentle, Quiet, Shy, Playful","The Nebelung may have a reserved nature, but she loves to play (being especially fond of retrieving) and enjoys jumping or climbing to high places where she can study people and situations at her leisure before making up her mind about whether she wants to get involved.","Longhaired Russian Blue","https://en.wikipedia.org/wiki/Nebelung","https://cdn2.thecatapi.com/images/OGTWqNNOt.jpg",37.553,-95.522,4,13.5,5,3,5,4,4,3,5,3,3,3,1,2,0,1,0,0,1
"Norwegian Forest Cat","Norway","NO","Sweet, Active, Intelligent, Social, Playful, Lively, Curious","The Norwegian Forest Cat is a sweet, loving cat. She appreciates praise and loves to interact with her parent. She makes a loving companion and bonds with her parents once she accepts them for her own. She is still a hunter at heart. She loves to chase toys as if they are real. She is territorial and patrols several times each day to make certain that all is fine.","Skogkatt / Skaukatt, Norsk Skogkatt / Norsk Skaukatt, Weegie","https://en.wikipedia.org/wiki/Norwegian_Forest_Cat","https://cdn2.thecatapi.com/images/06dgGmEOV.jpg",60.2,7.901,5.5,14,5,3,4,5,4,5,5,2,3,5,1,3,0,NA,0,0,0
"Ocicat","United States","US","Active, Agile, Curious, Demanding, Friendly, Gentle, Lively, Playful, Social","Loyal and devoted to their owners, the Ocicat is intelligent, confident, outgoing, and seems to have many dog traits. They can be trained to fetch toys, walk on a lead, taught to 'speak', come when called, and follow other commands. ","","https://en.wikipedia.org/wiki/Ocicat","https://cdn2.thecatapi.com/images/JAx-08Y0n.jpg",36.866,-94.984,5,13,5,5,5,5,4,5,5,1,3,5,3,3,0,NA,1,0,0
"Oriental","United States","US","Energetic, Affectionate, Intelligent, Social, Playful, Curious","Orientals are passionate about the people in their lives. They become extremely attached to their humans, so be prepared for a lifetime commitment. When you are not available to entertain her, an Oriental will divert herself by jumping on top of the refrigerator, opening drawers, seeking out new hideaways.","Foreign Type","https://en.wikipedia.org/wiki/Oriental_Shorthair","https://cdn2.thecatapi.com/images/LutjkZJpH.jpg",37.858,-96.16,3.5,13,5,5,5,5,4,3,5,1,3,5,5,3,0,1,1,0,0
"Persian","Iran (Persia)","IR","Affectionate, loyal, Sedate, Quiet","Persians are sweet, gentle cats that can be playful or quiet and laid-back. Great with families and children, they absolutely love to lounge around the house. While they don<U+2019>t mind a full house or active kids, they<U+2019>ll usually hide when they need some alone time.","Longhair, Persian Longhair, Shiraz, Shirazi","https://en.wikipedia.org/wiki/Persian_(cat)","https://cdn2.thecatapi.com/images/-Zfz5z2jK.jpg",31.433,53.476,5,14.5,5,1,3,2,2,2,5,5,4,4,1,3,0,1,0,0,0
"Pixie-bob","United States","US","Affectionate, Social, Intelligent, Loyal","Companionable and affectionate, the Pixie-bob wants to be an integral part of the family. The Pixie-Bob<U+2019>s ability to bond with their humans along with their patient personas make them excellent companions for children.","","https://en.wikipedia.org/wiki/Pixiebob","https://cdn2.thecatapi.com/images/z7fJRNeN6.jpg",37.756,-94.773,6,14.5,5,4,5,5,4,4,5,1,3,4,1,2,0,1,0,0,0
"Ragamuffin","United States","US","Affectionate, Friendly, Gentle, Calm","The Ragamuffin is calm, even tempered and gets along well with all family members. Changes in routine generally do not upset her. She is an ideal companion for those in apartments, and with children due to her patient nature.","","https://en.wikipedia.org/wiki/Ragamuffin_cat","https://cdn2.thecatapi.com/images/SMuZx-bFM.jpg",37.248,-96.98,6.5,14,5,3,5,5,4,5,5,3,3,3,1,3,0,1,0,0,0
"Ragdoll","United States","US","Affectionate, Friendly, Gentle, Quiet, Easygoing","Ragdolls love their people, greeting them at the door, following them around the house, and leaping into a lap or snuggling in bed whenever given the chance. They are the epitome of a lap cat, enjoy being carried and collapsing into the arms of anyone who holds them.","Rag doll","https://en.wikipedia.org/wiki/Ragdoll","https://cdn2.thecatapi.com/images/oGefY4YoG.jpg",36.016,-94.796,7,14.5,5,3,3,5,4,3,5,2,3,5,1,3,0,1,0,0,0
"Russian Blue","Russia","RU","Active, Dependent, Easy Going, Gentle, Intelligent, Loyal, Playful, Quiet","Russian Blues are very loving and reserved. They do not like noisy households but they do like to play and can be quite active when outdoors. They bond very closely with their owner and are known to be compatible with other pets.","Archangel Blue, Archangel Cat","https://en.wikipedia.org/wiki/Russian_Blue","https://cdn2.thecatapi.com/images/Rhj-JsTLP.jpg",63.059,105.376,3.5,13,3,3,3,3,3,1,3,3,3,3,1,1,0,1,1,0,0
"Savannah","United States","US","Curious, Social, Intelligent, Loyal, Outgoing, Adventurous, Affectionate","Savannah is the feline version of a dog. Actively seeking social interaction, they are given to pouting if left out. Remaining kitten-like through life. Profoundly loyal to immediate family members whilst questioning the presence of strangers. Making excellent companions that are loyal, intelligent and eager to be involved.","","https://en.wikipedia.org/wiki/Savannah_cat","https://cdn2.thecatapi.com/images/a8nIYvs6S.jpg",36.734,-96.061,7.5,18.5,5,5,5,5,4,5,5,1,3,5,1,1,0,NA,0,0,0
"Scottish Fold","United Kingdom","GB","Affectionate, Intelligent, Loyal, Playful, Social, Sweet, Loving","The Scottish Fold is a sweet, charming breed. She is an easy cat to live with and to care for. She is affectionate and is comfortable with all members of her family. Her tail should be handled gently. Folds are known for sleeping on their backs, and for sitting with their legs stretched out and their paws on their belly. This is called the ""Buddha Position"".","Scot Fold","https://en.wikipedia.org/wiki/Scottish_Fold","https://cdn2.thecatapi.com/images/o9t0LDcsa.jpg",55.412,-2.811,3.5,12.5,5,3,3,5,4,3,5,1,3,3,1,4,0,NA,0,0,0
